,Song,Artist,Query
1317,can't hold us (feat. ray dalton),macklemore & ryan lewis,can't hold us (feat. ray dalton) macklemore & ryan lewis lyrics
1318,animals - radio edit,martin garrix,animals - radio edit martin garrix lyrics
1319,talk dirty (feat. 2 chainz),jason derulo,talk dirty (feat. 2 chainz) jason derulo lyrics
1320,love me again,john newman,love me again john newman lyrics
1321,work b**ch,britney spears,work b**ch britney spears lyrics
1322,sweater weather,the neighbourhood,sweater weather the neighbourhood lyrics
1323,reload - radio edit,sebastian ingrosso,reload - radio edit sebastian ingrosso lyrics
1324,safe and sound,capital cities,safe and sound capital cities lyrics
1325,heart attack,demi lovato,heart attack demi lovato lyrics
1326,why'd you only call me when you're high?,arctic monkeys,why'd you only call me when you're high? arctic monkeys lyrics
1327,beauty and a beat,justin bieber,beauty and a beat justin bieber lyrics
1328,the monster,eminem,the monster eminem lyrics
1329,don't stop the party (feat. tjr),pitbull,don't stop the party (feat. tjr) pitbull lyrics
1330,come & get it,selena gomez,come & get it selena gomez lyrics
1331,true love (feat. lily allen),p!nk,true love (feat. lily allen) p!nk lyrics
1332,white noise,disclosure,white noise disclosure lyrics
1333,i cry,flo rida,i cry flo rida lyrics
1334,black skinhead,kanye west,black skinhead kanye west lyrics
1335,summertime sadness (lana del rey vs. cedric gervais) - cedric gervais remix,lana del rey,summertime sadness (lana del rey vs. cedric gervais) - cedric gervais remix lana del rey lyrics
1336,berzerk,eminem,berzerk eminem lyrics
1337,i love it (feat. charli xcx),icona pop,i love it (feat. charli xcx) icona pop lyrics
1338,my songs know what you did in the dark (light em up),fall out boy,my songs know what you did in the dark (light em up) fall out boy lyrics
1339,team,lorde,team lorde lyrics
1340,i could be the one (avicii vs. nicky romero) - radio edit,avicii,i could be the one (avicii vs. nicky romero) - radio edit avicii lyrics
1341,demons,imagine dragons,demons imagine dragons lyrics
1342,one way or another (teenage kicks),one direction,one way or another (teenage kicks) one direction lyrics
1343,i knew you were trouble.,taylor swift,i knew you were trouble. taylor swift lyrics
1344,do i wanna know?,arctic monkeys,do i wanna know? arctic monkeys lyrics
1345,waiting all night (feat. ella eyre),rudimental,waiting all night (feat. ella eyre) rudimental lyrics
1346,sonnentanz - sun don't shine,klangkarussell,sonnentanz - sun don't shine klangkarussell lyrics
1347,drinking from the bottle (feat. tinie tempah),calvin harris,drinking from the bottle (feat. tinie tempah) calvin harris lyrics
1348,"f**kin' problems (feat. drake, 2 chainz & kendrick lamar)",a$ap rocky,"f**kin' problems (feat. drake, 2 chainz & kendrick lamar) a$ap rocky lyrics"
1349,try,p!nk,try p!nk lyrics
1350,the fox (what does the fox say?),ylvis,the fox (what does the fox say?) ylvis lyrics
1351,burn,ellie goulding,burn ellie goulding lyrics
1352,harlem shake,baauer,harlem shake baauer lyrics
1353,i need your love (feat. ellie goulding),calvin harris,i need your love (feat. ellie goulding) calvin harris lyrics
1354,this is how we do,katy perry,this is how we do katy perry lyrics
1355,sail,awolnation,sail awolnation lyrics
1356,need u (100%) [feat. a*m*e] - radio edit,duke dumont,need u (100%) [feat. a*m*e] - radio edit duke dumont lyrics
1357,the other side,jason derulo,the other side jason derulo lyrics
1358,look right through - mk vocal edit,storm queen,look right through - mk vocal edit storm queen lyrics
1359,sweet nothing (feat. florence welch),calvin harris,sweet nothing (feat. florence welch) calvin harris lyrics
1360,unconditionally,katy perry,unconditionally katy perry lyrics
1361,bad (feat. rihanna) - remix,wale,bad (feat. rihanna) - remix wale lyrics
1362,body party,ciara,body party ciara lyrics
1363,started from the bottom,drake,started from the bottom drake lyrics
1364,wings,birdy,wings birdy lyrics
1365,of the night,bastille,of the night bastille lyrics
1366,dear darlin',olly murs,dear darlin' olly murs lyrics
1367,roar,katy perry,roar katy perry lyrics
1368,sure be cool if you did,blake shelton,sure be cool if you did blake shelton lyrics
1369,thinking about you (feat. ayah marar),calvin harris,thinking about you (feat. ayah marar) calvin harris lyrics
1370,holy grail,jay-z,holy grail jay-z lyrics
1371,ready or not,bridgit mendler,ready or not bridgit mendler lyrics
1372,what about us,the saturdays,what about us the saturdays lyrics
1373,pompeii,bastille,pompeii bastille lyrics
1374,best song ever,one direction,best song ever one direction lyrics
1375,hey porsche,nelly,hey porsche nelly lyrics
1376,clarity,zedd,clarity zedd lyrics
1377,wrecking ball,miley cyrus,wrecking ball miley cyrus lyrics
1378,fine china,chris brown,fine china chris brown lyrics
1379,lose yourself to dance (feat. pharrell williams),daft punk,lose yourself to dance (feat. pharrell williams) daft punk lyrics
1380,this is what it feels like,armin van buuren,this is what it feels like armin van buuren lyrics
1381,mirrors,justin timberlake,mirrors justin timberlake lyrics
1382,treasure,bruno mars,treasure bruno mars lyrics
1383,little talks,of monsters and men,little talks of monsters and men lyrics
1384,we can't stop,miley cyrus,we can't stop miley cyrus lyrics
1385,power trip (feat. miguel),j. cole,power trip (feat. miguel) j. cole lyrics
1386,still into you,paramore,still into you paramore lyrics
1387,human,christina perri,human christina perri lyrics
1388,"hold on, we're going home",drake,"hold on, we're going home drake lyrics"
1389,bonfire heart,james blunt,bonfire heart james blunt lyrics
1390,daylight,maroon 5,daylight maroon 5 lyrics
1391,3005,childish gambino,3005 childish gambino lyrics
1392,here's to never growing up,avril lavigne,here's to never growing up avril lavigne lyrics
1393,22,taylor swift,22 taylor swift lyrics
1394,let her go,passenger,let her go passenger lyrics
1395,the way,ariana grande,the way ariana grande lyrics
1396,stay,rihanna,stay rihanna lyrics
1397,suit & tie (feat. jay-z),justin timberlake,suit & tie (feat. jay-z) justin timberlake lyrics
1398,when i was your man,bruno mars,when i was your man bruno mars lyrics
1399,cruise,florida georgia line,cruise florida georgia line lyrics
1400,"happy - from ""despicable me 2""",pharrell williams,"happy - from ""despicable me 2"" pharrell williams lyrics"
1401,dark horse,katy perry,dark horse katy perry lyrics
1402,collard greens,schoolboy q,collard greens schoolboy q lyrics
1403,fancy,iggy azalea,fancy iggy azalea lyrics
1404,animals,maroon 5,animals maroon 5 lyrics
1405,stay with me,sam smith,stay with me sam smith lyrics
1406,rude,magic!,rude magic! lyrics
1407,chandelier,sia,chandelier sia lyrics
1408,all of me,john legend,all of me john legend lyrics
1409,faded,zhu,faded zhu lyrics
1410,all about that bass,meghan trainor,all about that bass meghan trainor lyrics
1411,lovers on the sun (feat. sam martin),david guetta,lovers on the sun (feat. sam martin) david guetta lyrics
1412,black widow,iggy azalea,black widow iggy azalea lyrics
1413,habits (stay high),tove lo,habits (stay high) tove lo lyrics
1414,gecko (overdrive) - radio edit,oliver heldens,gecko (overdrive) - radio edit oliver heldens lyrics
1415,you know you like it,dj snake,you know you like it dj snake lyrics
1416,talk dirty (feat. 2 chainz),jason derulo,talk dirty (feat. 2 chainz) jason derulo lyrics
1417,maps,maroon 5,maps maroon 5 lyrics
1418,bad (feat. vassy) - radio edit,david guetta,bad (feat. vassy) - radio edit david guetta lyrics
1419,2 on (feat. schoolboy q),tinashe,2 on (feat. schoolboy q) tinashe lyrics
1420,my love (feat. jess glynne),route 94,my love (feat. jess glynne) route 94 lyrics
1421,bad blood,taylor swift,bad blood taylor swift lyrics
1422,na na,trey songz,na na trey songz lyrics
1423,under control (feat. hurts),calvin harris,under control (feat. hurts) calvin harris lyrics
1424,coco,o.t. genasis,coco o.t. genasis lyrics
1425,wiggle (feat. snoop dogg),jason derulo,wiggle (feat. snoop dogg) jason derulo lyrics
1426,prayer in c - robin schulz radio edit,lilly wood and the prick,prayer in c - robin schulz radio edit lilly wood and the prick lyrics
1427,don't tell 'em,jeremih,don't tell 'em jeremih lyrics
1428,anaconda,nicki minaj,anaconda nicki minaj lyrics
1429,blame (feat. john newman),calvin harris,blame (feat. john newman) calvin harris lyrics
1430,turn down for what,dj snake,turn down for what dj snake lyrics
1431,timber (feat. ke$ha),pitbull,timber (feat. ke$ha) pitbull lyrics
1432,counting stars,onerepublic,counting stars onerepublic lyrics
1433,hot n*gga,bobby shmurda,hot n*gga bobby shmurda lyrics
1434,summer,calvin harris,summer calvin harris lyrics
1435,man of the year,schoolboy q,man of the year schoolboy q lyrics
1436,am i wrong,nico & vinz,am i wrong nico & vinz lyrics
1437,shower,becky g,shower becky g lyrics
1438,nobody to love - radio edit,sigma,nobody to love - radio edit sigma lyrics
1439,#selfie - original mix,the chainsmokers,#selfie - original mix the chainsmokers lyrics
1440,team,lorde,team lorde lyrics
1441,me and my broken heart,rixton,me and my broken heart rixton lyrics
1442,jubel - radio edit,klingande,jubel - radio edit klingande lyrics
1443,waves - robin schulz radio edit,mr. probz,waves - robin schulz radio edit mr. probz lyrics
1444,only love can hurt like this,paloma faith,only love can hurt like this paloma faith lyrics
1445,hideaway,kiesza,hideaway kiesza lyrics
1446,burn,ellie goulding,burn ellie goulding lyrics
1447,break free,ariana grande,break free ariana grande lyrics
1448,show me (feat. chris brown),kid ink,show me (feat. chris brown) kid ink lyrics
1449,talking body,tove lo,talking body tove lo lyrics
1450,loyal (feat. lil wayne & tyga),chris brown,loyal (feat. lil wayne & tyga) chris brown lyrics
1451,love runs out,onerepublic,love runs out onerepublic lyrics
1452,up (feat. demi lovato),olly murs,up (feat. demi lovato) olly murs lyrics
1453,high (feat. nicole millar),peking duk,high (feat. nicole millar) peking duk lyrics
1454,stolen dance,milky chance,stolen dance milky chance lyrics
1455,don't,ed sheeran,don't ed sheeran lyrics
1456,love me harder,ariana grande,love me harder ariana grande lyrics
1457,bailando - spanish version,enrique iglesias,bailando - spanish version enrique iglesias lyrics
1458,hey brother,avicii,hey brother avicii lyrics
1459,bang bang,jessie j,bang bang jessie j lyrics
1460,i got u,duke dumont,i got u duke dumont lyrics
1461,ready for your love,gorgon city,ready for your love gorgon city lyrics
1462,style,taylor swift,style taylor swift lyrics
1463,classic,mkto,classic mkto lyrics
1464,latch,disclosure,latch disclosure lyrics
1465,problem,ariana grande,problem ariana grande lyrics
1466,boom clap,charli xcx,boom clap charli xcx lyrics
1467,steal my girl,one direction,steal my girl one direction lyrics
1468,red lights,tiësto,red lights tiësto lyrics
1469,the heart wants what it wants,selena gomez,the heart wants what it wants selena gomez lyrics
1470,i will never let you down,rita ora,i will never let you down rita ora lyrics
1471,she looks so perfect,5 seconds of summer,she looks so perfect 5 seconds of summer lyrics
1472,superheroes,the script,superheroes the script lyrics
1473,shake it off,taylor swift,shake it off taylor swift lyrics
1474,night changes,one direction,night changes one direction lyrics
1475,sing,ed sheeran,sing ed sheeran lyrics
1476,heroes (we could be),alesso,heroes (we could be) alesso lyrics
1477,wasted,tiësto,wasted tiësto lyrics
1478,ugly heart,g.r.l.,ugly heart g.r.l. lyrics
1479,a sky full of stars,coldplay,a sky full of stars coldplay lyrics
1480,rather be (feat. jess glynne),clean bandit,rather be (feat. jess glynne) clean bandit lyrics
1481,stay the night - featuring hayley williams of paramore,zedd,stay the night - featuring hayley williams of paramore zedd lyrics
1482,elastic heart,sia,elastic heart sia lyrics
1483,story of my life,one direction,story of my life one direction lyrics
1484,little do you know,alex & sierra,little do you know alex & sierra lyrics
1485,post to be (feat. chris brown & jhene aiko),omarion,post to be (feat. chris brown & jhene aiko) omarion lyrics
1486,cool kids,echosmith,cool kids echosmith lyrics
1487,somebody,natalie la rose,somebody natalie la rose lyrics
1488,riptide,vance joy,riptide vance joy lyrics
1489,drunk in love (feat. jay-z),beyoncé,drunk in love (feat. jay-z) beyoncé lyrics
1490,sugar,maroon 5,sugar maroon 5 lyrics
1491,ghost,ella henderson,ghost ella henderson lyrics
1492,"i see fire - from ""the hobbit - the desolation of smaug""",ed sheeran,"i see fire - from ""the hobbit - the desolation of smaug"" ed sheeran lyrics"
1493,new flame (feat. usher & rick ross),chris brown,new flame (feat. usher & rick ross) chris brown lyrics
1494,geronimo,sheppard,geronimo sheppard lyrics
1495,wrapped up (feat. travie mccoy),olly murs,wrapped up (feat. travie mccoy) olly murs lyrics
1496,money on my mind,sam smith,money on my mind sam smith lyrics
1497,trumpets,jason derulo,trumpets jason derulo lyrics
1498,bed of lies,nicki minaj,bed of lies nicki minaj lyrics
1499,jealous - remix,nick jonas,jealous - remix nick jonas lyrics
1500,uptown funk (feat. bruno mars),mark ronson,uptown funk (feat. bruno mars) mark ronson lyrics
1501,thinking out loud,ed sheeran,thinking out loud ed sheeran lyrics
1502,see you again (feat. charlie puth),wiz khalifa,see you again (feat. charlie puth) wiz khalifa lyrics
1503,what do you mean?,justin bieber,what do you mean? justin bieber lyrics
1504,lean on (feat. mø & dj snake),major lazer,lean on (feat. mø & dj snake) major lazer lyrics
1505,"earned it (fifty shades of grey) - from the ""fifty shades of grey"" soundtrack",the weeknd,"earned it (fifty shades of grey) - from the ""fifty shades of grey"" soundtrack the weeknd lyrics"
1506,"love me like you do - from ""fifty shades of grey""",ellie goulding,"love me like you do - from ""fifty shades of grey"" ellie goulding lyrics"
1507,outside (feat. ellie goulding),calvin harris,outside (feat. ellie goulding) calvin harris lyrics
1508,"hey mama (feat. nicki minaj, bebe rexha & afrojack)",david guetta,"hey mama (feat. nicki minaj, bebe rexha & afrojack) david guetta lyrics"
1509,cool for the summer,demi lovato,cool for the summer demi lovato lyrics
1510,blank space,taylor swift,blank space taylor swift lyrics
1511,the hills,the weeknd,the hills the weeknd lyrics
1512,daddy issues,the neighbourhood,daddy issues the neighbourhood lyrics
1513,five more hours,deorro,five more hours deorro lyrics
1514,the nights,avicii,the nights avicii lyrics
1515,you know you like it,dj snake,you know you like it dj snake lyrics
1516,ghost town,adam lambert,ghost town adam lambert lyrics
1517,no type,rae sremmurd,no type rae sremmurd lyrics
1518,bad blood,taylor swift,bad blood taylor swift lyrics
1519,gdfr (feat. sage the gemini & lookas),flo rida,gdfr (feat. sage the gemini & lookas) flo rida lyrics
1520,sugar (feat. francesco yates),robin schulz,sugar (feat. francesco yates) robin schulz lyrics
1521,how deep is your love,calvin harris,how deep is your love calvin harris lyrics
1522,wish you were mine - radio edit,philip george,wish you were mine - radio edit philip george lyrics
1523,na na,trey songz,na na trey songz lyrics
1524,centuries,fall out boy,centuries fall out boy lyrics
1525,chill bill (feat. j. davi$ & spooks),rob $tone,chill bill (feat. j. davi$ & spooks) rob $tone lyrics
1526,are you with me - radio edit,lost frequencies,are you with me - radio edit lost frequencies lyrics
1527,stressed out,twenty one pilots,stressed out twenty one pilots lyrics
1528,worth it (feat. kid ink),fifth harmony,worth it (feat. kid ink) fifth harmony lyrics
1529,way down we go,kaleo,way down we go kaleo lyrics
1530,like i can,sam smith,like i can sam smith lyrics
1531,light it up (feat. nyla & fuse odg) - remix,major lazer,light it up (feat. nyla & fuse odg) - remix major lazer lyrics
1532,intoxicated - new radio mix,martin solveig,intoxicated - new radio mix martin solveig lyrics
1533,waiting for love,avicii,waiting for love avicii lyrics
1534,ain't nobody (loves me better) (feat. jasmine thompson),felix jaehn,ain't nobody (loves me better) (feat. jasmine thompson) felix jaehn lyrics
1535,wildest dreams,taylor swift,wildest dreams taylor swift lyrics
1536,in the night,the weeknd,in the night the weeknd lyrics
1537,time of our lives,pitbull,time of our lives pitbull lyrics
1538,runaway (u & i),galantis,runaway (u & i) galantis lyrics
1539,bitch better have my money,rihanna,bitch better have my money rihanna lyrics
1540,lush life,zara larsson,lush life zara larsson lyrics
1541,drag me down,one direction,drag me down one direction lyrics
1542,antidote,travis scott,antidote travis scott lyrics
1543,king,years & years,king years & years lyrics
1544,confident,demi lovato,confident demi lovato lyrics
1545,closer,lemaitre,closer lemaitre lyrics
1546,same old love,selena gomez,same old love selena gomez lyrics
1547,do it again,pia mia,do it again pia mia lyrics
1548,my house,flo rida,my house flo rida lyrics
1549,watch me (whip / nae nae),silentó,watch me (whip / nae nae) silentó lyrics
1550,ayo,chris brown,ayo chris brown lyrics
1551,spirits,the strumbellas,spirits the strumbellas lyrics
1552,trap queen,fetty wap,trap queen fetty wap lyrics
1553,talking body,tove lo,talking body tove lo lyrics
1554,7/11,beyoncé,7/11 beyoncé lyrics
1555,high by the beach,lana del rey,high by the beach lana del rey lyrics
1556,never forget you,zara larsson,never forget you zara larsson lyrics
1557,oui,jeremih,oui jeremih lyrics
1558,hotline bling,drake,hotline bling drake lyrics
1559,kill em with kindness,selena gomez,kill em with kindness selena gomez lyrics
1560,let it all go,birdy,let it all go birdy lyrics
1561,679 (feat. remy boyz),fetty wap,679 (feat. remy boyz) fetty wap lyrics
1562,love me harder,ariana grande,love me harder ariana grande lyrics
1563,can't feel my face,the weeknd,can't feel my face the weeknd lyrics
1564,you don't own me (feat. g-eazy),saygrace,you don't own me (feat. g-eazy) saygrace lyrics
1565,renegades,x ambassadors,renegades x ambassadors lyrics
1566,locked away (feat. adam levine),r. city,locked away (feat. adam levine) r. city lyrics
1567,stole the show,kygo,stole the show kygo lyrics
1568,the less i know the better,tame impala,the less i know the better tame impala lyrics
1569,good for you,selena gomez,good for you selena gomez lyrics
1570,my way (feat. monty),fetty wap,my way (feat. monty) fetty wap lyrics
1571,take me to church,hozier,take me to church hozier lyrics
1572,style,taylor swift,style taylor swift lyrics
1573,here,alessia cara,here alessia cara lyrics
1574,"writing's on the wall - from ""spectre"" soundtrack",sam smith,"writing's on the wall - from ""spectre"" soundtrack sam smith lyrics"
1575,bang my head (feat. sia & fetty wap),david guetta,bang my head (feat. sia & fetty wap) david guetta lyrics
1576,all eyes on you (feat. chris brown & nicki minaj),meek mill,all eyes on you (feat. chris brown & nicki minaj) meek mill lyrics
1577,i don't fuck with you,big sean,i don't fuck with you big sean lyrics
1578,firestone,kygo,firestone kygo lyrics
1579,jumpman,drake,jumpman drake lyrics
1580,sunset lover,petit biscuit,sunset lover petit biscuit lyrics
1581,stitches,shawn mendes,stitches shawn mendes lyrics
1582,"i don't like it, i love it (feat. robin thicke & verdine white)",flo rida,"i don't like it, i love it (feat. robin thicke & verdine white) flo rida lyrics"
1583,the heart wants what it wants,selena gomez,the heart wants what it wants selena gomez lyrics
1584,where are ü now (with justin bieber),jack ü,where are ü now (with justin bieber) jack ü lyrics
1585,on my mind,ellie goulding,on my mind ellie goulding lyrics
1586,don't,bryson tiller,don't bryson tiller lyrics
1587,"flex (ooh, ooh, ooh)",rich homie quan,"flex (ooh, ooh, ooh) rich homie quan lyrics"
1588,please don't go,joel adams,please don't go joel adams lyrics
1589,i want you to know,zedd,i want you to know zedd lyrics
1590,fast car,jonas blue,fast car jonas blue lyrics
1591,electric love,børns,electric love børns lyrics
1592,easy love,sigala,easy love sigala lyrics
1593,sorry,justin bieber,sorry justin bieber lyrics
1594,one last time,ariana grande,one last time ariana grande lyrics
1595,black magic,little mix,black magic little mix lyrics
1596,perfect,one direction,perfect one direction lyrics
1597,shine,years & years,shine years & years lyrics
1598,lips are movin,meghan trainor,lips are movin meghan trainor lyrics
1599,el perdón - forgiveness,nicky jam,el perdón - forgiveness nicky jam lyrics
1600,starboy,the weeknd,starboy the weeknd lyrics
1601,one dance,drake,one dance drake lyrics
1602,love yourself,justin bieber,love yourself justin bieber lyrics
1603,closer,the chainsmokers,closer the chainsmokers lyrics
1604,hello,adele,hello adele lyrics
1605,panda,desiigner,panda desiigner lyrics
1606,tuesday (feat. danelle sandoval),burak yeter,tuesday (feat. danelle sandoval) burak yeter lyrics
1607,cheap thrills (feat. sean paul),sia,cheap thrills (feat. sean paul) sia lyrics
1608,wherever i go,onerepublic,wherever i go onerepublic lyrics
1609,work,rihanna,work rihanna lyrics
1610,hymn for the weekend,coldplay,hymn for the weekend coldplay lyrics
1611,sorry,justin bieber,sorry justin bieber lyrics
1612,"can't stop the feeling! (from dreamworks animation's ""trolls"")",justin timberlake,"can't stop the feeling! (from dreamworks animation's ""trolls"") justin timberlake lyrics"
1613,wait a minute!,willow,wait a minute! willow lyrics
1614,tiimmy turner,desiigner,tiimmy turner desiigner lyrics
1615,"me, myself & i",g-eazy,"me, myself & i g-eazy lyrics"
1616,this one's for you (feat. zara larsson) (official song uefa euro 2016),david guetta,this one's for you (feat. zara larsson) (official song uefa euro 2016) david guetta lyrics
1617,hurts so good,astrid s,hurts so good astrid s lyrics
1618,"sucker for pain (with wiz khalifa, imagine dragons, logic & ty dolla $ign feat. x ambassadors)",lil wayne,"sucker for pain (with wiz khalifa, imagine dragons, logic & ty dolla $ign feat. x ambassadors) lil wayne lyrics"
1619,heathens,twenty one pilots,heathens twenty one pilots lyrics
1620,low life (feat. the weeknd),future,low life (feat. the weeknd) future lyrics
1621,no money,galantis,no money galantis lyrics
1622,don't let me down,the chainsmokers,don't let me down the chainsmokers lyrics
1623,girls like (feat. zara larsson),tinie tempah,girls like (feat. zara larsson) tinie tempah lyrics
1624,hear me now,alok,hear me now alok lyrics
1625,all time low,jon bellion,all time low jon bellion lyrics
1626,sex,cheat codes,sex cheat codes lyrics
1627,no,meghan trainor,no meghan trainor lyrics
1628,hotter than hell,dua lipa,hotter than hell dua lipa lyrics
1629,in the name of love,martin garrix,in the name of love martin garrix lyrics
1630,faded,alan walker,faded alan walker lyrics
1631,cool girl,tove lo,cool girl tove lo lyrics
1632,let me love you,dj snake,let me love you dj snake lyrics
1633,this is what you came for (feat. rihanna),calvin harris,this is what you came for (feat. rihanna) calvin harris lyrics
1634,i took a pill in ibiza - seeb remix,mike posner,i took a pill in ibiza - seeb remix mike posner lyrics
1635,2 phones,kevin gates,2 phones kevin gates lyrics
1636,needed me,rihanna,needed me rihanna lyrics
1637,side to side,ariana grande,side to side ariana grande lyrics
1638,alone,marshmello,alone marshmello lyrics
1639,i know what you did last summer,shawn mendes,i know what you did last summer shawn mendes lyrics
1640,same old love,selena gomez,same old love selena gomez lyrics
1641,my way,calvin harris,my way calvin harris lyrics
1642,handclap,fitz and the tantrums,handclap fitz and the tantrums lyrics
1643,ride,twenty one pilots,ride twenty one pilots lyrics
1644,my house,flo rida,my house flo rida lyrics
1645,dangerous woman,ariana grande,dangerous woman ariana grande lyrics
1646,alarm,anne-marie,alarm anne-marie lyrics
1647,we don't talk anymore (feat. selena gomez),charlie puth,we don't talk anymore (feat. selena gomez) charlie puth lyrics
1648,i'm in control,alunageorge,i'm in control alunageorge lyrics
1649,duele el corazon (feat. wisin),enrique iglesias,duele el corazon (feat. wisin) enrique iglesias lyrics
1650,never forget you,mnek,never forget you mnek lyrics
1651,the ocean (feat. shy martin),mike perry,the ocean (feat. shy martin) mike perry lyrics
1652,hotline bling,drake,hotline bling drake lyrics
1653,into you,ariana grande,into you ariana grande lyrics
1654,treat you better,shawn mendes,treat you better shawn mendes lyrics
1655,say it,tory lanez,say it tory lanez lyrics
1656,adventure of a lifetime,coldplay,adventure of a lifetime coldplay lyrics
1657,this girl - kungs vs. cookin' on 3 burners,kungs,this girl - kungs vs. cookin' on 3 burners kungs lyrics
1658,you don't own me (feat. g-eazy),saygrace,you don't own me (feat. g-eazy) saygrace lyrics
1659,renegades,x ambassadors,renegades x ambassadors lyrics
1660,cake by the ocean,dnce,cake by the ocean dnce lyrics
1661,the girl is mine,99 souls,the girl is mine 99 souls lyrics
1662,papercuts (feat. vera blue),illy,papercuts (feat. vera blue) illy lyrics
1663,gold,kiiara,gold kiiara lyrics
1664,stole the show,kygo,stole the show kygo lyrics
1665,work from home (feat. ty dolla $ign),fifth harmony,work from home (feat. ty dolla $ign) fifth harmony lyrics
1666,pop style,drake,pop style drake lyrics
1667,pillowtalk,zayn,pillowtalk zayn lyrics
1668,here,alessia cara,here alessia cara lyrics
1669,middle,dj snake,middle dj snake lyrics
1670,sweet lovin' - radio edit,sigala,sweet lovin' - radio edit sigala lyrics
1671,jumpman,drake,jumpman drake lyrics
1672,dangerously,charlie puth,dangerously charlie puth lyrics
1673,close,nick jonas,close nick jonas lyrics
1674,perfect strangers,jonas blue,perfect strangers jonas blue lyrics
1675,cold water (feat. justin bieber & mø),major lazer,cold water (feat. justin bieber & mø) major lazer lyrics
1676,roses,the chainsmokers,roses the chainsmokers lyrics
1677,luv,tory lanez,luv tory lanez lyrics
1678,"just like fire (from the original motion picture ""alice through the looking glass"")",p!nk,"just like fire (from the original motion picture ""alice through the looking glass"") p!nk lyrics"
1679,don't,bryson tiller,don't bryson tiller lyrics
1680,just hold on,steve aoki,just hold on steve aoki lyrics
1681,tears (feat. louisa johnson),clean bandit,tears (feat. louisa johnson) clean bandit lyrics
1682,fast car,jonas blue,fast car jonas blue lyrics
1683,never be like you,flume,never be like you flume lyrics
1684,good grief,bastille,good grief bastille lyrics
1685,the greatest (feat. kendrick lamar),sia,the greatest (feat. kendrick lamar) sia lyrics
1686,not nice,partynextdoor,not nice partynextdoor lyrics
1687,"i hate u, i love u (feat. olivia o'brien)",garrett nash,"i hate u, i love u (feat. olivia o'brien) garrett nash lyrics"
1688,1955,hilltop hoods,1955 hilltop hoods lyrics
1689,all in my head (flex) (feat. fetty wap),fifth harmony,all in my head (flex) (feat. fetty wap) fifth harmony lyrics
1690,"sit still, look pretty",daya,"sit still, look pretty daya lyrics"
1691,don't mind,kent jones,don't mind kent jones lyrics
1692,say it,flume,say it flume lyrics
1693,exchange,bryson tiller,exchange bryson tiller lyrics
1694,final song,mø,final song mø lyrics
1695,sorry,beyoncé,sorry beyoncé lyrics
1696,shout out to my ex,little mix,shout out to my ex little mix lyrics
1697,ophelia,the lumineers,ophelia the lumineers lyrics
1698,pink + white,frank ocean,pink + white frank ocean lyrics
1699,too good,drake,too good drake lyrics
1700,shape of you,ed sheeran,shape of you ed sheeran lyrics
1701,no lie,sean paul,no lie sean paul lyrics
1702,despacito (featuring daddy yankee),luis fonsi,despacito (featuring daddy yankee) luis fonsi lyrics
1703,too good at goodbyes,sam smith,too good at goodbyes sam smith lyrics
1704,rockabye (feat. sean paul & anne-marie),clean bandit,rockabye (feat. sean paul & anne-marie) clean bandit lyrics
1705,havana (feat. young thug),camila cabello,havana (feat. young thug) camila cabello lyrics
1706,thunder,imagine dragons,thunder imagine dragons lyrics
1707,don't wanna know (feat. kendrick lamar),maroon 5,don't wanna know (feat. kendrick lamar) maroon 5 lyrics
1708,something just like this,the chainsmokers,something just like this the chainsmokers lyrics
1709,perfect,ed sheeran,perfect ed sheeran lyrics
1710,little dark age,mgmt,little dark age mgmt lyrics
1711,goosebumps,travis scott,goosebumps travis scott lyrics
1712,bored,billie eilish,bored billie eilish lyrics
1713,mask off,future,mask off future lyrics
1714,him & i,g-eazy,him & i g-eazy lyrics
1715,cold (feat. future),maroon 5,cold (feat. future) maroon 5 lyrics
1716,swang,rae sremmurd,swang rae sremmurd lyrics
1717,save that shit,lil peep,save that shit lil peep lyrics
1718,plain jane,a$ap ferg,plain jane a$ap ferg lyrics
1719,unforgettable,french montana,unforgettable french montana lyrics
1720,bank account,21 savage,bank account 21 savage lyrics
1721,more than you know,axwell /\ ingrosso,more than you know axwell /\ ingrosso lyrics
1722,dusk till dawn (feat. sia) - radio edit,zayn,dusk till dawn (feat. sia) - radio edit zayn lyrics
1723,mi gente,j balvin,mi gente j balvin lyrics
1724,you don't know me - radio edit,jax jones,you don't know me - radio edit jax jones lyrics
1725,black beatles,rae sremmurd,black beatles rae sremmurd lyrics
1726,ain't my fault,zara larsson,ain't my fault zara larsson lyrics
1727,butterfly effect,travis scott,butterfly effect travis scott lyrics
1728,rolex,ayo & teo,rolex ayo & teo lyrics
1729,xo tour llif3,lil uzi vert,xo tour llif3 lil uzi vert lyrics
1730,whatever it takes,imagine dragons,whatever it takes imagine dragons lyrics
1731,chill bill (feat. j. davi$ & spooks),rob $tone,chill bill (feat. j. davi$ & spooks) rob $tone lyrics
1732,swalla (feat. nicki minaj & ty dolla $ign),jason derulo,swalla (feat. nicki minaj & ty dolla $ign) jason derulo lyrics
1733,no limit,g-eazy,no limit g-eazy lyrics
1734,magnolia,playboi carti,magnolia playboi carti lyrics
1735,hold on,chord overstreet,hold on chord overstreet lyrics
1736,breathe,jax jones,breathe jax jones lyrics
